index,submit_date,ID,platform,sessionid,blocking,duration,start,subtype,ts,license,parameters.sourceView,parameters.delayDuration,parameters.loadScenesDuration,parameters.updateSceneDuration,parameters.didCompile,parameters.backupScenesDuration,parameters.domainReloadDuration,parameters.noDomainReload,parameters.noSceneReload,parameters.sceneCount,parameters.dirtySceneCount,parameters.scriptDebugInfoEnabled,parameters.autoGenerate,parameters.bakeBackend,parameters.computeRealtime,parameters.computeBaked,parameters.outcome,parameters.indirectResolution,parameters.lightmapResolution,parameters.compressLightmaps,parameters.lightmapSize,parameters.progressive.directSamples,parameters.progressive.indirectSamples,parameters.progressive.bounces,parameters.progressive.prioritizeView,parameters.ambientOcclusion.maxDistance,parameters.progressive.russianRouletteStartBounce,parameters.progressive.minBounces,parameters.fallback,parameters.lightmaps.occupiedTexels,parameters.lightmaps.lightmapCount,parameters.scene.contributingInstanceCount,parameters.scene.meshCount,parameters.scene.totalTriangleCount,parameters.lights.mixedBakeMode,parameters.lights.bakedLightCount,parameters.lights.mixedLightCount,parameters.lights.shadowCastingLightCount,parameters.lights.cookieLightCount,parameters.lights.uniqueCookieCount,parameters.lightProbes.lightProbeGroupCount,parameters.lightProbes.lightProbeCount,parameters.lightProbes.contributingLightProbeLitInstanceCount,parameters.memory.maxTilingModeDuringBake,parameters.lightmapCompression,parameters.enlighten.finalGather.rayCount,parameters.enlighten.finalGather.denoise,used_lighting,bakeBackendflag,hour,sess_duration,sess_duration_h,hour_bin,total_hours,use_category,session_count
1000049,2021-10-28 00:00:00.000000000,H4R85LsrWcydltAi0OBt+W2YImnwTPoxZmdnqpSHT2M=,WindowsEditor,9183279415440664576,False,29612244.0,2021-10-28 16:04:54.478036700,computeLighting,2021-10-28 16:05:24.089000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,success,,100.0,True,2048.0,32.0,256.0,4.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,16.0,0 days 05:50:12.903000,5.84,afternoon/evening,70.08,very high,1
903984,2021-10-28 00:00:00.000000000,cJ8HHhXAkckFk6E5AR74sTlB53tYVwDSx7c6AR4G6mA=,WindowsEditor,5100028826353046528,False,95564468.0,2021-10-28 22:28:25.484572100,computeLighting,2021-10-28 22:30:01.048000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,20.0,True,2048.0,2.0,20.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,True,True,22.0,0 days 07:48:51.793000,7.81,night,54.669999999999995,very high,1
979220,2021-10-28 00:00:00.000000000,cJ8HHhXAkckFk6E5AR74sTlB53tYVwDSx7c6AR4G6mA=,WindowsEditor,5100028826353046528,False,92707118.0,2021-10-28 14:39:36.549230500,computeLighting,2021-10-28 14:41:09.255000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,20.0,True,2048.0,2.0,20.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,True,True,14.0,0 days 07:48:51.793000,7.81,afternoon/evening,54.669999999999995,very high,1
946955,2021-10-28 00:00:00.000000000,cdc/ZiCflETC9HuxbdReShO9nyYy0nI1TGe8bfW/ELM=,WindowsEditor,730701454433864320,False,5075732.0,2021-10-28 13:36:26.741745400,computeLighting,2021-10-28 13:36:31.817000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,40.0,True,1024.0,32.0,512.0,2.0,True,,,,,,,,,,,,,,,,,,,,,,,True,True,13.0,0 days 00:27:26.293000,0.46,afternoon/evening,3.68,low,1
987685,2021-10-28 00:00:00.000000000,cdc/ZiCflETC9HuxbdReShO9nyYy0nI1TGe8bfW/ELM=,WindowsEditor,730701454433864320,False,5149959.0,2021-10-28 13:31:39.708845400,computeLighting,2021-10-28 13:31:44.859000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,40.0,True,1024.0,32.0,512.0,2.0,True,,,,,,,,,,,,,,,,,,,,,,,True,True,13.0,0 days 00:27:26.293000,0.46,afternoon/evening,3.68,low,1
950052,2021-10-28 00:00:00.000000000,kXvm274isidvEHvvUIe1j1/sD906irckAxuRkm3SiW4=,WindowsEditor,1991645759546389504,False,25953149.0,2021-10-28 13:45:55.991633900,computeLighting,2021-10-28 13:46:21.944000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,True,True,cancelled,20.0,40.0,True,1024.0,20.0,120.0,1.0,True,,,,none,,,,,,,,,,,,,,,,,,,True,True,13.0,0 days 00:04:46.733000,0.08,afternoon/evening,22.369999999999997,high,3
983898,2021-10-28 00:00:00.000000000,kXvm274isidvEHvvUIe1j1/sD906irckAxuRkm3SiW4=,WindowsEditor,1991645759546389504,False,17054029.0,2021-10-28 13:47:41.003780200,computeLighting,2021-10-28 13:47:58.056000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,True,True,interrupted,39.349998474121094,40.0,True,1024.0,20.0,120.0,1.0,True,,,,none,,,,,,,,,,,,,,,,,,,True,True,13.0,0 days 00:04:46.733000,0.08,afternoon/evening,22.369999999999997,high,3
910014,2021-10-28 00:00:00.000000000,SvtuPv5cL25Zn6frnmOLQj5IBKk8ltPuAk6idVSU1HY=,WindowsEditor,4769281666260704256,False,14829347.0,2021-10-28 13:12:25.678798900,computeLighting,2021-10-28 13:12:40.507000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,40.0,True,1024.0,32.0,512.0,2.0,True,,,,none,,,,,,,,,,,,,,,,,,,True,True,13.0,0 days 01:28:35.663000,1.48,afternoon/evening,70.32,very high,3
910015,2021-10-28 00:00:00.000000000,SvtuPv5cL25Zn6frnmOLQj5IBKk8ltPuAk6idVSU1HY=,WindowsEditor,3142074950663385600,False,192730471.0,2021-10-28 18:24:36.324113000,computeLighting,2021-10-28 20:22:21.001000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,40.0,True,1024.0,32.0,512.0,2.0,True,,,,none,,,,,,,,,,,,,,,,,,,True,True,20.0,0 days 03:31:10.161000,3.52,night,70.32,very high,3
946110,2021-10-28 00:00:00.000000000,SvtuPv5cL25Zn6frnmOLQj5IBKk8ltPuAk6idVSU1HY=,WindowsEditor,4769281666260704256,False,1138740.0,2021-10-28 12:58:25.020623100,computeLighting,2021-10-28 12:58:26.158000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,40.0,True,1024.0,32.0,512.0,2.0,True,,,,none,,,,,,,,,,,,,,,,,,,True,True,12.0,0 days 01:28:35.663000,1.48,day,70.32,very high,3
